ticker,NAME,GICS_SECTOR_NAME,CUR_MKT_CAP,EQY_SH_OUT,PE_RATIO,PX_TO_BOOK_RATIO,EQY_DVD_YLD_IND,ID_ISIN,CRNCY,EQY_FREE_FLOAT_PCT
1177 HK Equity,SINO BIOPHARMACEUTICAL,Health Care,,18682.95,35.13167208062729,2.6822799506208868,2.1937842288444425,KYG8167W1380,HKD,73.00803
1179 HK Equity,H WORLD GROUP LTD,Consumer Discretionary,,3075.238,#N/A Field Not Applicable,#N/A Field Not Applicable,4.032131275668494,KYG465871120,HKD,58.20909
1186 HK Equity,CHINA RAILWAY CONSTRUCTION-H,Industrials,,2076.296,3.841122164735983,0.1467658260596198,7.84334089632228,CNE100000981,HKD,95.01854
119 HK Equity,POLY PROPERTY GROUP CO LTD,Real Estate,,3821.183,#N/A N/A,0.1250021756208662,2.10526320133132,HK0119000674,HKD,51.88245
1191 HK Equity,CREALIGHTS TECHNOLOGY CO L-H,Information Technology,,91.55675,#N/A N/A,7.023008114464479,#N/A N/A,CNE100007QB4,HKD,12.69424
1193 HK Equity,CHINA RESOURCES GAS GROUP LT,Utilities,,2314.013,10.393896256244277,0.7999376564312437,5.867819568122736,BMG2113B1081,HKD,38.46134
1199 HK Equity,COSCO SHIPPING PORTS LTD,Industrials,,4016.711,8.13437048281793,0.4398528036277378,4.860287899692415,BMG2442N1048,HKD,28.69012
12 HK Equity,HENDERSON LAND DEVELOPMENT,Real Estate,,4841.387,18.85213929993831,0.38605581903352065,4.853620918579572,HK0012000102,HKD,27.10914
1208 HK Equity,MMG LTD,Materials,,12846.42,12.862681156599255,2.5247301939748232,#N/A N/A,HK1208013172,HKD,36.26257
1209 HK Equity,CHINA RESOURCES MIXC LIFESTY,Real Estate,,2282.5,17.51076235538273,4.641617657772026,3.3961815216722933,KYG2122G1064,HKD,26.23281
1211 HK Equity,BYD CO LTD-H,Consumer Discretionary,,3683.3999999999996,21.644677653712428,2.6436869700053456,0.5080525129119311,CNE100000296,HKD,99.87783
123 HK Equity,YUEXIU PROPERTY CO LTD,Real Estate,,4025.393,#N/A N/A,0.19807187152985192,0.28169012871892984,HK0000745908,HKD,33.9626
1236 HK Equity,SHENZHEN LDROBOT CO LTD-H,Information Technology,,333.3334,#N/A N/A,7.087824021104204,#N/A N/A,CNE100007LF6,HKD,18.91458
1258 HK Equity,CHINA NONFERROUS MINING CORP,Materials,,3902.0359999999996,13.843476764138597,2.8839584935528766,0.5448775469623109,HK0000112026,HKD,33.36812
1276 HK Equity,JIANGSU HENGRUI PHARMACEUT-H,Health Care,,258.19759999999997,33.96570310543885,4.040847378220973,0.4953739643612312,CNE100006XS6,HKD,89.69186
1277 HK Equity,KINETIC DEVELOPMENT GROUP LT,Energy,,8599.508,12.341963008930307,1.5790585527327519,6.349206207290528,KYG525931039,HKD,26.82412
1286 HK Equity,IMPRO PRECISION INDUSTRIES L,Industrials,,1947.2859999999998,17.742980132781362,2.1714411971699255,2.1304926288112025,KYG4723A1085,HKD,19.31949
1288 HK Equity,AGRICULTURAL BANK OF CHINA-H,Financials,,30738.82,6.650635679237892,0.6586793570887678,4.776364281063988,CNE100000Q43,HKD,100
1299 HK Equity,AIA GROUP LTD,Financials,,10346.64,12.775594550908767,2.4883905615531905,2.5795439555512965,HK0000069689,HKD,99.80269
13 HK Equity,HUTCHMED CHINA LTD,Health Care,,872.3351,123.26051703737294,1.8997089222956511,#N/A N/A,KYG4672N1198,HKD,50.12062
1302 HK Equity,LIFETECH SCIENTIFIC CORP,Health Care,,4631.7119999999995,86.03727700480579,1.5725636520166495,#N/A N/A,KYG548721177,HKD,74.97343
1308 HK Equity,SITC INTERNATIONAL HOLDINGS,Industrials,,2711.528,12.975469568112974,5.877800488345152,5.191029900332227,KYG8187G1055,HKD,48.41787
1310 HK Equity,HKBN LTD,Communication Services,,1478.922,38.59311853704496,3.813376539377801,6.300366514331691,KYG451581055,HKD,96.78316
1313 HK Equity,CHINA RESOURCES BUILDING MAT,Materials,,6982.938,#N/A N/A,#N/A N/A,4.153005330940413,KYG2113L1068,HKD,31.3576
1316 HK Equity,NEXTEER AUTOMOTIVE GROUP LTD,Consumer Discretionary,,2509.824,12.062421816465598,0.6939413988575505,3.072597421466411,KYG6501M1050,HKD,55.97302
1318 HK Equity,MAO GEPING COSMETICS CO LT-H,Consumer Staples,,490.16429999999997,14.335933359210403,3.866405534868485,1.584489490141211,CNE100006PM5,HKD,26.51578
1333 HK Equity,BRETON TECHNOLOGY CO LTD-H,Industrials,,359.0057,#N/A N/A,4.264665183375047,#N/A N/A,CNE100006WR0,HKD,52.88961
1336 HK Equity,NEW CHINA LIFE INSURANCE C-H,Financials,,1034.107,2.841197322133169,1.0177173065129765,6.85699255675494,CNE100001922,HKD,90.24897
1339 HK Equity,PEOPLE'S INSURANCE CO GROU-H,Financials,,8726.234,3.8360754795471954,0.6416234130580251,5.126020590739266,CNE100001MK7,HKD,93.70899
1347 HK Equity,HUA HONG GRACE SEMICONDUCTOR,Information Technology,,1928.495,249.30787626325863,3.5841042242320564,#N/A N/A,HK0000218211,HKD,65.32985
135 HK Equity,KUNLUN ENERGY CO LTD,Utilities,,8637.716,10.151061135136128,0.8028784055120018,5.264178480556041,BMG5320C1082,HKD,43.81517
1357 HK Equity,MEITU INC,Communication Services,,4519.429,16.11413456379358,2.660090131547446,3.3209418423261488,KYG5966D1051,HKD,69.2894
1359 HK Equity,CHINA CINDA ASSET MANAGEME-H,Financials,,13567.599999999999,29.933926126849222,0.1804077187702644,3.6406705386183233,CNE100001QS1,HKD,66.64979
136 HK Equity,CHINA RUYI HOLDINGS LTD,Communication Services,,16800.61,14.837704562144323,0.8807372980771093,#N/A N/A,BMG4404N1149,HKD,81.94029
1361 HK Equity,361 DEGREES INTERNATIONAL,Consumer Discretionary,,2167.682,5.575378030695876,0.6726201091310625,7.745664932824284,KYG884931042,HKD,37.69947
1364 HK Equity,GUMING HOLDINGS LTD,Consumer Discretionary,,2338.897,13.940981576233401,7.628432882768222,1.1425959780621573,KYG4212T1058,HKD,18.66743
1368 HK Equity,XTEP INTERNATIONAL HOLDINGS,Consumer Discretionary,,2815.0969999999998,6.349951241715106,0.7684664795095372,7.868383575406708,KYG982771092,HKD,52.76445
1378 HK Equity,CHINA HONGQIAO GROUP LTD,Materials,,9819.398,6.730095679924007,1.3932113621010418,7.4593127312755065,KYG211501005,HKD,37.53463
1384 HK Equity,DEEPEXI TECHNOLOGY CO LTD-H,Information Technology,,348.85999999999996,#N/A N/A,7.776428366202761,#N/A N/A,CNE1000076K9,HKD,35.16703
1385 HK Equity,SHANGHAI FUDAN MICROELECT-H,Information Technology,,284.33,21.337374035394358,2.7126883168598352,0.24834076674142055,CNE100000510,HKD,90.18057
1392 HK Equity,SHENZHEN HQVT TECHNOLOGY -H,Information Technology,,756.1438999999999,#N/A N/A,0.35308740914858355,#N/A N/A,CNE100007Q46,HKD,27.85496
1398 HK Equity,IND & COMM BK OF CHINA-H,Financials,,86794.04,6.259387099714967,0.5759794788199873,4.941057364145915,CNE1000003G1,HKD,83.09176
14 HK Equity,HYSAN DEVELOPMENT CO,Real Estate,,1027.008,51.96122248153102,0.2482223572837571,6.844106735838684,HK0014000126,HKD,57.13309
1405 HK Equity,DPC DASH LTD,Consumer Discretionary,,131.61929999999998,20.335896148421256,1.273572200524744,#N/A N/A,VGG2R04S1048,HKD,58.13046
1415 HK Equity,COWELL E HOLDINGS INC,Information Technology,,867.1278,11.630719051218788,3.192077360612162,1.5060240707381047,KYG248141163,HKD,28.57365
142 HK Equity,FIRST PACIFIC CO,Consumer Staples,,4262.12,4.537761569039404,0.5844689488953846,5.648535789306194,BMG348041077,HKD,53.92177
1428 HK Equity,BRIGHT SMART SECURITIES AND,Financials,,1697.2959999999998,18.005379160140006,5.555937840571564,#N/A N/A,KYG1644A1004,HKD,49.29322
144 HK Equity,CHINA MERCHANTS PORT HOLDING,Industrials,,4198.009,10.304424444946234,0.5938910817203936,4.489672068112675,HK0144000764,HKD,50.05616
1440 HK Equity,STAR SHINE HOLDINGS GROUP LT,Consumer Discretionary,,1259.77,#N/A N/A,87.70658478765544,#N/A N/A,KYG2751J1085,HKD,61.41558
1478 HK Equity,Q TECHNOLOGY GROUP CO LTD,Information Technology,,1194.8909999999998,3.7705568874364226,0.8679771039255509,10.138249067666894,KYG7306T1058,HKD,36.40833
148 HK Equity,KINGBOARD HOLDINGS LTD,Information Technology,,1121.782,13.652708664909566,0.7807872231972834,3.297491099244805,KYG525621408,HKD,64.40089
151 HK Equity,WANT WANT CHINA HOLDINGS LTD,Consumer Staples,,11733.72,7.393220579623301,1.4256435959840186,3.8430671708833684,KYG9431R1039,HKD,35.24604
1511 HK Equity,UISEE TECHNOLOGIES BEIJING-H,Industrials,,126.7255,#N/A N/A,7.260627663396528,#N/A N/A,CNE100007LH2,HKD,68.57765
1513 HK Equity,LIVZON PHARMACEUTICAL GROU-H,Health Care,,299.8071,9.244079914396789,1.1570517019511712,8.127166944391588,CNE100001QV5,HKD,#N/A N/A
1519 HK Equity,J&T GLOBAL EXPRESS LTD,Industrials,,8641.774,28.031257320227326,2.577583476377948,#N/A N/A,KYG4990A1040,HKD,77.04807
152 HK Equity,SHENZHEN INTL HOLDINGS,Industrials,,2451.066,8.470499383403176,0.3682007419820101,8.622305685935338,BMG8086V1467,HKD,52.06348
1530 HK Equity,3SBIO INC,Health Care,,2522.154,3.991367906354984,1.2361450948524555,1.5873015873015872,KYG8875G1029,HKD,69.88576
1548 HK Equity,GENSCRIPT BIOTECH CORP,Health Care,,2280.496,#N/A N/A,2.8207724054491905,#N/A N/A,KYG3825B1059,HKD,46.95374
1579 HK Equity,YIHAI INTERNATIONAL HOLDING,Consumer Staples,,1036.7,12.251687128586239,2.614002257943989,7.572107504256766,KYG984191075,HKD,57.94394
1585 HK Equity,YADEA GROUP HOLDINGS LTD,Consumer Discretionary,,3112.647,9.117593825044066,2.184995710109371,6.130711062923893,KYG9830F1063,HKD,35.90287
16 HK Equity,SUN HUNG KAI PROPERTIES,Real Estate,,2897.7799999999997,14.55842116800475,0.4923066786970237,3.6304550471965533,HK0016000132,HKD,34.17272
1609 HK Equity,STAR SPORTS MEDICINE CO LT-H,Health Care,,54.80264,#N/A N/A,3.678047950466325,#N/A N/A,CNE100007KK8,HKD,59.54436
1610 HK Equity,COFCO JOYCOME FOODS LTD,Consumer Staples,,4581.998,#N/A N/A,0.6286903269670366,#N/A N/A,KYG226921008,HKD,36.39967
165 HK Equity,CHINA EVERBRIGHT LTD,Financials,,1685.254,#N/A N/A,0.40810907265301555,1.4693878134902643,HK0165000859,HKD,50.19004
1651 HK Equity,PRECISION TSUGAMI CHINA CORP,Industrials,,368.614,14.06517468366713,4.265015984253057,3.051261187957689,KYG7215M1006,HKD,30.99926
1658 HK Equity,POSTAL SAVINGS BANK OF CHI-H,Financials,,19856.17,6.424766471298542,0.5291723353664314,4.926898965129146,CNE1000029W3,HKD,67.00627
1672 HK Equity,ASCLETIS PHARMA INC,Health Care,,1051.985,#N/A N/A,3.5065772096020993,#N/A N/A,KYG0520K1094,HKD,35.82267
1675 HK Equity,ASIAINFO TECHNOLOGIES LTD,Information Technology,,939.9889,#N/A N/A,0.5473141488648912,1.3251534086063594,VGG0542G1028,HKD,22.05169
168 HK Equity,TSINGTAO BREWERY CO LTD-H,Consumer Staples,,655.0692,9.898484236288834,1.4533503491196593,6.941270486952582,CNE1000004K1,HKD,93.94379
1681 HK Equity,CONSUN PHARMACEUTICAL GROUP,Health Care,,837.8366,8.142632740654859,2.0086968808272347,5.8602552320794175,KYG2524A1031,HKD,58.95507
1686 HK Equity,SUNEVISION HOLDINGS,Information Technology,,2363.185,19.6155988171524,2.014051719795825,2.5431426084658755,KYG857001054,HKD,#N/A N/A
1698 HK Equity,TENCENT MUSIC ENT - CLASS A,Communication Services,,1636.655,#N/A Field Not Applicable,#N/A Field Not Applicable,3.024154345705578,KYG875771134,HKD,81.58005
17 HK Equity,NEW WORLD DEVELOPMENT,Real Estate,,2516.633,#N/A N/A,0.08537522165885178,#N/A N/A,HK0000608585,HKD,54.36981
1729 HK Equity,TIME INTERCONNECT TECHNOLOGY,Industrials,,2234.727,28.75257302604782,4.311647046006636,0.4605263095806566,KYG8879R1048,HKD,37.13583
173 HK Equity,K WAH INTL HOLDINGS,Real Estate,,3152.729,#N/A N/A,0.16070605371300636,1.485148481655829,BMG5321P1169,HKD,34.39231
1735 HK Equity,CENTRAL NEW ENERGY HOLDING G,Industrials,,4224.0,1184.2481199845781,18.95372701951261,#N/A N/A,KYG2006G1313,HKD,34.14343
175 HK Equity,GEELY AUTOMOBILE HOLDINGS LT,Consumer Discretionary,,10785.59,8.573566784925772,1.4496151896558758,3.136762860727729,KYG3777B1032,HKD,54.39381
1766 HK Equity,CRRC CORP LTD-H,Industrials,,4371.066,8.984014488242174,0.7122699258965212,5.006393958718223,CNE100000BG0,HKD,100
1768 HK Equity,BUSY MING GROUP CO LTD-H,Consumer Staples,,215.9174,#N/A N/A,4.724835940508535,#N/A N/A,CNE100007DZ1,HKD,5.286374
177 HK Equity,JIANGSU EXPRESS CO LTD-H,Industrials,,1222.0,9.434210206749142,1.0612886494983857,2.8541463177378583,CNE1000003J5,HKD,85.35106
1772 HK Equity,GANFENG LITHIUM GROUP CO L-H,Materials,,483.10069999999996,9.391700259017918,1.2517748910618915,0.5108239959839598,CNE1000031W9,HKD,92.01514
1776 HK Equity,GF SECURITIES CO LTD-H,Financials,,1920.7959999999998,6.4618737808145035,0.848228874675541,4.956385496676716,CNE100001TQ9,HKD,72.24435
1779 HK Equity,LONGBIO PHARMA SUZHOU CO L-H,Health Care,,75.05922,#N/A N/A,5.900785224141427,#N/A N/A,CNE100007NF2,HKD,5.954441
1783 HK Equity,ENVISION GREENWISE HOLDINGS,Industrials,,3007.266,208.89549507388872,13.255176567713269,0.22271714424237374,KYG3962W1107,HKD,39.53835
1787 HK Equity,SHANDONG GOLD MINING CO LT-H,Materials,,995.4861999999999,18.098222725963208,2.729926793972537,1.4104437994064716,CNE1000036N7,HKD,90.37383
1788 HK Equity,GUOTAI JUNAN INTERNATIONAL,Financials,,9529.945,18.767016601364666,1.704419192990692,0.6908462712595912,HK0000065869,HKD,25.27818
1789 HK Equity,AK MEDICAL HOLDINGS LTD,Health Care,,1077.49,12.344929593359113,1.6960074254494992,2.425488195585935,KYG020141019,HKD,41.9127
179 HK Equity,JOHNSON ELECTRIC HOLDINGS,Consumer Discretionary,,934.4119999999999,10.966993531743851,0.7814426153709876,3.2481363914010366,BMG5150J1577,HKD,28.97445
1797 HK Equity,EAST BUY HOLDING LTD,Consumer Staples,,1053.879,42.610344915322244,4.174235127469556,#N/A N/A,KYG5313A1013,HKD,40.73682
1800 HK Equity,CHINA COMMUNICATIONS CONST-H,Industrials,,4418.476,3.978325631158592,0.1618253169778757,6.456264402722822,CNE1000002F5,HKD,86.14513
1801 HK Equity,INNOVENT BIOLOGICS INC,Health Care,,1744.845,114.88886286360074,6.93209310462412,#N/A N/A,KYG4818G1010,HKD,84.11354
1810 HK Equity,XIAOMI CORP-CLASS B,Information Technology,,21330.28,17.712432553691766,2.1527590075410603,#N/A N/A,KYG9830T1067,HKD,79.49313
1811 HK Equity,CGN NEW ENERGY HOLDINGS CO L,Utilities,,4289.924,5.882721472523787,0.6061467046947753,2.5152570109047963,BMG202981087,HKD,27.69569
1816 HK Equity,CGN POWER CO LTD-H,Utilities,,11163.63,12.95012170737077,1.036675728160229,3.333331156177681,CNE100001T80,HKD,89.99767
